Job Title,Company,Industry,City,Experience,Employment Type,Work Mode,Company Email,Description,Posted Date
Teacher,Wipro,Education,Chennai,Fresher,Full Time,Hybrid,careers@wipro.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-30
Staff Nurse,Zomato,Healthcare,Gurgaon,5+ Years,Part Time,On-site,careers@zomato.com,Maintain medical records and ensure hygiene standards. Provide patient care and assist doctors in clinical procedures. Monitor patient vitals and administer medications. Communicate with patients and families about treatment plans.,2026-01-06
Quality Analyst,HDFC Bank,General,Patna,3-5 Years,Full Time,On-site,careers@hdfcbank.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2026-01-08
Operations Executive,L&T,Logistics,Noida,0-1 Years,Contract,On-site,careers@l&t.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-11-28
Teacher,Zomato,Education,Indore,1-3 Years,Full Time,Hybrid,careers@zomato.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-17
Teacher,Apollo Hospitals,Education,Noida,1-3 Years,Full Time,On-site,careers@apollohospitals.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-12-18
Teacher,Mahindra & Mahindra,Education,Bengaluru,3-5 Years,Part Time,On-site,careers@mahindra&mahindra.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-15
Interior Designer,ICICI Bank,General,Ahmedabad,0-1 Years,Full Time,On-site,careers@icicibank.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-12-21
Operations Executive,Byju's,Logistics,Lucknow,0-1 Years,Contract,On-site,careers@byju's.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-14
Mechanical Engineer,Flipkart,General,Mumbai,1-3 Years,Full Time,On-site,careers@flipkart.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2026-01-02
Digital Marketing Executive,Flipkart,General,Indore,0-1 Years,Full Time,On-site,careers@flipkart.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2026-01-20
Content Writer,Infosys,General,Delhi,3-5 Years,Full Time,On-site,careers@infosys.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-13
Warehouse Manager,ICICI Bank,Logistics,Hyderabad,3-5 Years,Full Time,On-site,careers@icicibank.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2026-01-09
Sales Manager,ICICI Bank,Retail,Delhi,5+ Years,Full Time,On-site,careers@icicibank.com,Achieve monthly targets and lead the sales team. Prepare sales reports and presentations for management. Develop sales strategies and manage client relationships. Negotiate contracts and maintain customer satisfaction.,2026-01-14
Software Engineer,Byju's,IT Services,Chennai,Fresher,Full Time,Hybrid,careers@byju's.com,"Design, develop, and maintain scalable software applications. Participate in code reviews and improve development standards. Write technical documentation and ensure proper version control. Collaborate with cross-functional teams to implement new features.",2025-12-27
Mechanical Engineer,Apollo Hospitals,General,Ahmedabad,1-3 Years,Full Time,On-site,careers@apollohospitals.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2026-01-09
Operations Executive,Tata Group,Logistics,Patna,3-5 Years,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-29
Pharmacist,Flipkart,General,Mumbai,Fresher,Full Time,On-site,careers@flipkart.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2026-01-20
Interior Designer,Byju's,General,Delhi,3-5 Years,Full Time,On-site,careers@byju's.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2026-01-04
Production Supervisor,Reliance Industries,General,Indore,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-11-27
Customer Support Executive,Flipkart,General,Chennai,0-1 Years,Full Time,On-site,careers@flipkart.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-20
Data Analyst,Apollo Hospitals,IT Services,Indore,Fresher,Full Time,Hybrid,careers@apollohospitals.com,Ensure data accuracy and maintain database integrity. Work with stakeholders to understand data requirements. Create dashboards and reports to support business decisions. Analyze large datasets to extract actionable insights.,2025-12-18
Supply Chain Analyst,Wipro,General,Mumbai,0-1 Years,Full Time,On-site,careers@wipro.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-11-21
Digital Marketing Executive,Reliance Industries,General,Indore,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2026-01-04
Marketing Executive,L&T,Marketing & Advertising,Delhi,1-3 Years,Internship,Hybrid,careers@l&t.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-25
Interior Designer,Flipkart,General,Nagpur,Fresher,Full Time,On-site,careers@flipkart.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-28
Teacher,Tata Group,Education,Gurgaon,5+ Years,Full Time,Hybrid,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2026-01-08
Accountant,HDFC Bank,Banking & Finance,Hyderabad,3-5 Years,Part Time,Remote,careers@hdfcbank.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-12
Site Supervisor,Reliance Industries,Construction,Chennai,Fresher,Contract,On-site,careers@relianceindustries.com,Monitor project progress and report to management. Schedule labor and resources efficiently to meet deadlines. Ensure safety standards and material quality. Supervise construction activities at the site.,2026-01-12
Pharmacist,Flipkart,General,Hyderabad,3-5 Years,Full Time,On-site,careers@flipkart.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-09
Content Writer,L&T,General,Patna,3-5 Years,Full Time,On-site,careers@l&t.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2026-01-18
Teacher,Byju's,Education,Hyderabad,3-5 Years,Part Time,Hybrid,careers@byju's.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-12-21
Marketing Executive,Tata Group,Marketing & Advertising,Kolkata,Fresher,Part Time,Hybrid,careers@tatagroup.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-11-24
Teacher,Zomato,Education,Nagpur,3-5 Years,Part Time,Hybrid,careers@zomato.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-04
Mechanical Engineer,Infosys,General,Pune,3-5 Years,Full Time,On-site,careers@infosys.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2026-01-04
Project Coordinator,Wipro,General,Noida,3-5 Years,Full Time,On-site,careers@wipro.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-11-25
Mechanical Engineer,Adani Group,General,Gurgaon,Fresher,Full Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-04
Teacher,Amazon India,Education,Noida,5+ Years,Part Time,On-site,careers@amazonindia.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-18
Marketing Executive,Flipkart,Marketing & Advertising,Bhopal,5+ Years,Part Time,Hybrid,careers@flipkart.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-10
Digital Marketing Executive,ICICI Bank,General,Ahmedabad,Fresher,Full Time,On-site,careers@icicibank.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-12-27
Electrical Technician,Swiggy,General,Hyderabad,0-1 Years,Full Time,On-site,careers@swiggy.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2026-01-02
Mechanical Engineer,ICICI Bank,General,Gurgaon,0-1 Years,Full Time,On-site,careers@icicibank.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-25
Loan Officer,Wipro,General,Patna,5+ Years,Full Time,On-site,careers@wipro.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2026-01-14
Marketing Executive,ICICI Bank,Marketing & Advertising,Delhi,1-3 Years,Part Time,Hybrid,careers@icicibank.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-11-27
Graphic Designer,Byju's,General,Jaipur,0-1 Years,Full Time,On-site,careers@byju's.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-11-28
Civil Engineer,Swiggy,General,Bhopal,3-5 Years,Full Time,On-site,careers@swiggy.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-12-16
Loan Officer,Flipkart,General,Kolkata,3-5 Years,Full Time,On-site,careers@flipkart.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-12-23
Hospital Administrator,Swiggy,General,Noida,Fresher,Full Time,On-site,careers@swiggy.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2026-01-11
Assistant Professor,Tata Group,General,Bengaluru,Fresher,Full Time,On-site,careers@tatagroup.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-15
Bank Clerk,Byju's,General,Delhi,5+ Years,Full Time,On-site,careers@byju's.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-12-26
Electrical Technician,Reliance Industries,General,Lucknow,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-11-28
Content Writer,Swiggy,General,Gurgaon,Fresher,Full Time,On-site,careers@swiggy.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-12-06
Software Engineer,Adani Group,IT Services,Bhopal,5+ Years,Internship,Hybrid,careers@adanigroup.com,"Debug, test, and optimize code for high performance. Write technical documentation and ensure proper version control. Collaborate with cross-functional teams to implement new features. Participate in code reviews and improve development standards.",2025-11-26
Marketing Executive,Flipkart,Marketing & Advertising,Mumbai,5+ Years,Full Time,Remote,careers@flipkart.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-09
Accountant,Tata Group,Banking & Finance,Bengaluru,Fresher,Full Time,On-site,careers@tatagroup.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-11-24
Staff Nurse,Adani Group,Healthcare,Noida,5+ Years,Part Time,On-site,careers@adanigroup.com,Monitor patient vitals and administer medications. Provide patient care and assist doctors in clinical procedures. Maintain medical records and ensure hygiene standards. Assist in emergency situations and routine checkups.,2026-01-07
Bank Clerk,HDFC Bank,General,Mumbai,Fresher,Full Time,On-site,careers@hdfcbank.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-24
Pharmacist,Wipro,General,Indore,3-5 Years,Full Time,On-site,careers@wipro.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-02
Marketing Executive,Adani Group,Marketing & Advertising,Indore,Fresher,Full Time,On-site,careers@adanigroup.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-25
Bank Clerk,Reliance Industries,General,Mumbai,Fresher,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2026-01-05
Warehouse Manager,Byju's,Logistics,Delhi,5+ Years,Full Time,On-site,careers@byju's.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-12-26
Sales Manager,Byju's,Retail,Ahmedabad,0-1 Years,Full Time,On-site,careers@byju's.com,Develop sales strategies and manage client relationships. Prepare sales reports and presentations for management. Achieve monthly targets and lead the sales team. Negotiate contracts and maintain customer satisfaction.,2026-01-14
Assistant Professor,Byju's,General,Noida,5+ Years,Full Time,On-site,careers@byju's.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-11-30
Mechanical Engineer,Reliance Industries,General,Patna,5+ Years,Full Time,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-09
Warehouse Manager,Flipkart,Logistics,Patna,5+ Years,Full Time,On-site,careers@flipkart.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-12-30
Bank Clerk,Flipkart,General,Patna,0-1 Years,Full Time,On-site,careers@flipkart.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-17
Software Engineer,Infosys,IT Services,Mumbai,3-5 Years,Contract,Remote,careers@infosys.com,"Participate in code reviews and improve development standards. Debug, test, and optimize code for high performance. Write technical documentation and ensure proper version control. Collaborate with cross-functional teams to implement new features.",2025-11-22
Electrical Technician,HDFC Bank,General,Ahmedabad,0-1 Years,Full Time,On-site,careers@hdfcbank.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-12-07
Software Engineer,Mahindra & Mahindra,IT Services,Bhopal,1-3 Years,Contract,Hybrid,careers@mahindra&mahindra.com,"Participate in code reviews and improve development standards. Write technical documentation and ensure proper version control. Collaborate with cross-functional teams to implement new features. Debug, test, and optimize code for high performance.",2026-01-17
Staff Nurse,Adani Group,Healthcare,Pune,0-1 Years,Full Time,On-site,careers@adanigroup.com,Communicate with patients and families about treatment plans. Monitor patient vitals and administer medications. Provide patient care and assist doctors in clinical procedures. Assist in emergency situations and routine checkups.,2025-12-11
Mechanical Engineer,Apollo Hospitals,General,Mumbai,3-5 Years,Full Time,On-site,careers@apollohospitals.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-12-18
Graphic Designer,Reliance Industries,General,Delhi,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-24
Project Coordinator,Reliance Industries,General,Bhopal,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-15
Digital Marketing Executive,Wipro,General,Jaipur,3-5 Years,Full Time,On-site,careers@wipro.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-20
Marketing Executive,Infosys,Marketing & Advertising,Noida,0-1 Years,Full Time,On-site,careers@infosys.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2026-01-07
Warehouse Manager,Byju's,Logistics,Bengaluru,Fresher,Full Time,On-site,careers@byju's.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-28
Staff Nurse,Apollo Hospitals,Healthcare,Hyderabad,0-1 Years,Full Time,On-site,careers@apollohospitals.com,Provide patient care and assist doctors in clinical procedures. Maintain medical records and ensure hygiene standards. Monitor patient vitals and administer medications. Communicate with patients and families about treatment plans.,2025-12-29
Operations Executive,Byju's,Logistics,Patna,0-1 Years,Contract,Hybrid,careers@byju's.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-11-26
Sales Manager,Flipkart,Retail,Jaipur,1-3 Years,Full Time,On-site,careers@flipkart.com,Analyze market trends and customer needs. Prepare sales reports and presentations for management. Negotiate contracts and maintain customer satisfaction. Achieve monthly targets and lead the sales team.,2025-11-23
Teacher,Swiggy,Education,Patna,3-5 Years,Part Time,On-site,careers@swiggy.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2026-01-01
Operations Executive,HDFC Bank,Logistics,Nagpur,5+ Years,Full Time,Hybrid,careers@hdfcbank.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-11-21
Graphic Designer,Amazon India,General,Bengaluru,1-3 Years,Full Time,On-site,careers@amazonindia.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2026-01-14
Software Engineer,Byju's,IT Services,Lucknow,0-1 Years,Full Time,Hybrid,careers@byju's.com,"Write technical documentation and ensure proper version control. Design, develop, and maintain scalable software applications. Debug, test, and optimize code for high performance. Collaborate with cross-functional teams to implement new features.",2025-12-25
Graphic Designer,Adani Group,General,Gurgaon,1-3 Years,Full Time,On-site,careers@adanigroup.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2026-01-02
Warehouse Manager,Apollo Hospitals,Logistics,Mumbai,3-5 Years,Full Time,On-site,careers@apollohospitals.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-11-28
Project Coordinator,Zomato,General,Bengaluru,3-5 Years,Full Time,On-site,careers@zomato.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-11-24
Project Coordinator,Infosys,General,Pune,0-1 Years,Full Time,On-site,careers@infosys.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2026-01-05
Digital Marketing Executive,Infosys,General,Indore,1-3 Years,Full Time,On-site,careers@infosys.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-12-14
Staff Nurse,Wipro,Healthcare,Nagpur,0-1 Years,Full Time,On-site,careers@wipro.com,Monitor patient vitals and administer medications. Communicate with patients and families about treatment plans. Provide patient care and assist doctors in clinical procedures. Assist in emergency situations and routine checkups.,2026-01-09
Electrical Technician,Flipkart,General,Patna,5+ Years,Full Time,On-site,careers@flipkart.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-12-27
Hospital Administrator,Swiggy,General,Indore,5+ Years,Full Time,On-site,careers@swiggy.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-13
Digital Marketing Executive,ICICI Bank,General,Lucknow,Fresher,Full Time,On-site,careers@icicibank.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2026-01-11
Electrical Technician,Mahindra & Mahindra,General,Delhi,Fresher,Full Time,On-site,careers@mahindra&mahindra.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-12
Interior Designer,Tata Group,General,Patna,Fresher,Full Time,On-site,careers@tatagroup.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-11-29
Site Supervisor,Flipkart,Construction,Delhi,Fresher,Contract,On-site,careers@flipkart.com,Ensure safety standards and material quality. Schedule labor and resources efficiently to meet deadlines. Monitor project progress and report to management. Supervise construction activities at the site.,2025-11-25
Electrical Technician,Adani Group,General,Indore,3-5 Years,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-18
Supply Chain Analyst,Swiggy,General,Lucknow,1-3 Years,Full Time,On-site,careers@swiggy.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2026-01-01
Civil Engineer,Amazon India,General,Patna,Fresher,Full Time,On-site,careers@amazonindia.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-12-27
Marketing Executive,Infosys,Marketing & Advertising,Lucknow,Fresher,Part Time,Hybrid,careers@infosys.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-11-26
Civil Engineer,L&T,General,Indore,3-5 Years,Full Time,On-site,careers@l&t.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-16
Operations Executive,Infosys,Logistics,Lucknow,3-5 Years,Full Time,On-site,careers@infosys.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-12-15
Accountant,Amazon India,Banking & Finance,Nagpur,5+ Years,Part Time,On-site,careers@amazonindia.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-18
Pharmacist,Tata Group,General,Gurgaon,5+ Years,Full Time,On-site,careers@tatagroup.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-11-22
Supply Chain Analyst,Byju's,General,Patna,0-1 Years,Full Time,On-site,careers@byju's.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-29
Warehouse Manager,Tata Group,Logistics,Gurgaon,3-5 Years,Full Time,On-site,careers@tatagroup.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-12-09
Civil Engineer,Tata Group,General,Bengaluru,3-5 Years,Full Time,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-15
Pharmacist,Infosys,General,Noida,Fresher,Full Time,On-site,careers@infosys.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-12-28
Site Supervisor,Infosys,Construction,Indore,Fresher,Full Time,On-site,careers@infosys.com,Ensure safety standards and material quality. Coordinate with engineers and contractors. Schedule labor and resources efficiently to meet deadlines. Supervise construction activities at the site.,2025-12-04
Interior Designer,Wipro,General,Mumbai,3-5 Years,Full Time,On-site,careers@wipro.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2026-01-09
Assistant Professor,Mahindra & Mahindra,General,Bhopal,5+ Years,Full Time,On-site,careers@mahindra&mahindra.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-15
Production Supervisor,Apollo Hospitals,General,Mumbai,Fresher,Full Time,On-site,careers@apollohospitals.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-11-27
Bank Clerk,Tata Group,General,Lucknow,0-1 Years,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-12-12
Teacher,Wipro,Education,Patna,1-3 Years,Full Time,On-site,careers@wipro.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-11-26
