Job Title,Company,Industry,City,Experience,Employment Type,Work Mode,Company Email,Description,Posted Date
Pharmacist,Adani Group,General,Indore,0-1 Years,Full Time,On-site,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-16
Data Analyst,Infosys,IT Services,Bengaluru,5+ Years,Contract,On-site,careers@infosys.com,Ensure data accuracy and maintain database integrity. Create dashboards and reports to support business decisions. Implement data cleaning and transformation pipelines. Analyze large datasets to extract actionable insights.,2025-12-25
Software Engineer,Tata Group,IT Services,Jaipur,3-5 Years,Internship,Remote,careers@tatagroup.com,"Write technical documentation and ensure proper version control. Collaborate with cross-functional teams to implement new features. Design, develop, and maintain scalable software applications. Participate in code reviews and improve development standards.",2025-11-25
Project Coordinator,Adani Group,General,Bhopal,Fresher,Full Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-12-20
Customer Support Executive,Mahindra & Mahindra,General,Nagpur,3-5 Years,Full Time,On-site,careers@mahindra&mahindra.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-12-14
Electrical Technician,Reliance Industries,General,Patna,3-5 Years,Full Time,On-site,careers@relianceindustries.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-11-28
Interior Designer,Tata Group,General,Noida,1-3 Years,Full Time,On-site,careers@tatagroup.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2026-01-09
Site Supervisor,L&T,Construction,Bhopal,1-3 Years,Contract,On-site,careers@l&t.com,Coordinate with engineers and contractors. Ensure safety standards and material quality. Schedule labor and resources efficiently to meet deadlines. Supervise construction activities at the site.,2025-12-08
Quality Analyst,Reliance Industries,General,Delhi,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-12-31
Pharmacist,Adani Group,General,Noida,3-5 Years,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2026-01-09
Site Supervisor,Adani Group,Construction,Bhopal,Fresher,Contract,On-site,careers@adanigroup.com,Schedule labor and resources efficiently to meet deadlines. Ensure safety standards and material quality. Supervise construction activities at the site. Coordinate with engineers and contractors.,2025-12-09
Hospital Administrator,Tata Group,General,Hyderabad,5+ Years,Full Time,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-12-20
Data Analyst,Reliance Industries,IT Services,Delhi,5+ Years,Full Time,Remote,careers@relianceindustries.com,Implement data cleaning and transformation pipelines. Create dashboards and reports to support business decisions. Analyze large datasets to extract actionable insights. Ensure data accuracy and maintain database integrity.,2025-12-02
Electrical Technician,Adani Group,General,Gurgaon,Fresher,Full Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2026-01-06
Data Analyst,Reliance Industries,IT Services,Indore,3-5 Years,Full Time,Remote,careers@relianceindustries.com,Work with stakeholders to understand data requirements. Ensure data accuracy and maintain database integrity. Implement data cleaning and transformation pipelines. Analyze large datasets to extract actionable insights.,2025-11-23
Production Supervisor,Tata Group,General,Gurgaon,0-1 Years,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2026-01-16
Supply Chain Analyst,Tata Group,General,Jaipur,0-1 Years,Full Time,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-23
Bank Clerk,Reliance Industries,General,Ahmedabad,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-11
Civil Engineer,Mahindra & Mahindra,General,Lucknow,Fresher,Full Time,On-site,careers@mahindra&mahindra.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-12-30
Civil Engineer,Tata Group,General,Noida,0-1 Years,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-02
Accountant,HDFC Bank,Banking & Finance,Indore,0-1 Years,Full Time,On-site,careers@hdfcbank.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-11-26
Electrical Technician,Reliance Industries,General,Delhi,3-5 Years,Full Time,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-11-22
Interior Designer,Mahindra & Mahindra,General,Bengaluru,3-5 Years,Full Time,On-site,careers@mahindra&mahindra.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2026-01-08
Bank Clerk,Reliance Industries,General,Chennai,Fresher,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-12-04
UI/UX Designer,Reliance Industries,General,Nagpur,3-5 Years,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-12-21
Teacher,Byju's,Education,Noida,5+ Years,Part Time,On-site,careers@byju's.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2026-01-08
Data Analyst,Tata Group,IT Services,Pune,0-1 Years,Contract,Remote,careers@tatagroup.com,Create dashboards and reports to support business decisions. Analyze large datasets to extract actionable insights. Work with stakeholders to understand data requirements. Implement data cleaning and transformation pipelines.,2025-12-30
Data Analyst,Tata Group,IT Services,Mumbai,5+ Years,Contract,Hybrid,careers@tatagroup.com,Ensure data accuracy and maintain database integrity. Implement data cleaning and transformation pipelines. Analyze large datasets to extract actionable insights. Work with stakeholders to understand data requirements.,2025-11-21
Teacher,Byju's,Education,Noida,3-5 Years,Full Time,Hybrid,careers@byju's.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-11-25
Data Analyst,Reliance Industries,IT Services,Patna,5+ Years,Full Time,On-site,careers@relianceindustries.com,Implement data cleaning and transformation pipelines. Analyze large datasets to extract actionable insights. Ensure data accuracy and maintain database integrity. Work with stakeholders to understand data requirements.,2025-12-07
Content Writer,Reliance Industries,General,Jaipur,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-12-09
Interior Designer,Reliance Industries,General,Lucknow,3-5 Years,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-12
Staff Nurse,Apollo Hospitals,Healthcare,Pune,0-1 Years,Part Time,On-site,careers@apollohospitals.com,Maintain medical records and ensure hygiene standards. Communicate with patients and families about treatment plans. Provide patient care and assist doctors in clinical procedures. Assist in emergency situations and routine checkups.,2025-12-21
Digital Marketing Executive,Reliance Industries,General,Nagpur,Fresher,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-12-24
Teacher,Byju's,Education,Patna,3-5 Years,Part Time,Hybrid,careers@byju's.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-12-17
UI/UX Designer,Adani Group,General,Nagpur,Fresher,Full Time,On-site,careers@adanigroup.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2026-01-18
Software Engineer,Reliance Industries,IT Services,Chennai,5+ Years,Full Time,Hybrid,careers@relianceindustries.com,"Design, develop, and maintain scalable software applications. Participate in code reviews and improve development standards. Debug, test, and optimize code for high performance. Collaborate with cross-functional teams to implement new features.",2025-12-20
Civil Engineer,Tata Group,General,Kolkata,3-5 Years,Full Time,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-11-30
Staff Nurse,Apollo Hospitals,Healthcare,Ahmedabad,1-3 Years,Full Time,On-site,careers@apollohospitals.com,Provide patient care and assist doctors in clinical procedures. Assist in emergency situations and routine checkups. Monitor patient vitals and administer medications. Maintain medical records and ensure hygiene standards.,2025-12-22
Software Engineer,Wipro,IT Services,Nagpur,1-3 Years,Internship,Remote,careers@wipro.com,"Participate in code reviews and improve development standards. Design, develop, and maintain scalable software applications. Write technical documentation and ensure proper version control. Collaborate with cross-functional teams to implement new features.",2025-12-12
Site Supervisor,L&T,Construction,Jaipur,1-3 Years,Full Time,On-site,careers@l&t.com,Schedule labor and resources efficiently to meet deadlines. Coordinate with engineers and contractors. Monitor project progress and report to management. Ensure safety standards and material quality.,2026-01-13
Data Analyst,Infosys,IT Services,Bhopal,Fresher,Contract,Hybrid,careers@infosys.com,Create dashboards and reports to support business decisions. Implement data cleaning and transformation pipelines. Work with stakeholders to understand data requirements. Analyze large datasets to extract actionable insights.,2025-11-29
Loan Officer,Reliance Industries,General,Chennai,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-11-22
UI/UX Designer,Mahindra & Mahindra,General,Delhi,1-3 Years,Full Time,On-site,careers@mahindra&mahindra.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-20
Bank Clerk,Mahindra & Mahindra,General,Noida,0-1 Years,Full Time,On-site,careers@mahindra&mahindra.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-08
Quality Analyst,Tata Group,General,Mumbai,5+ Years,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-11-21
Civil Engineer,Adani Group,General,Delhi,3-5 Years,Full Time,On-site,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-27
Bank Clerk,Adani Group,General,Ahmedabad,Fresher,Full Time,On-site,careers@adanigroup.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-12-26
HR Executive,Reliance Industries,IT Services,Kolkata,5+ Years,Full Time,On-site,careers@relianceindustries.com,"Coordinate HR policies, payroll support, and compliance. Manage recruitment, onboarding, and employee documentation. Assist in employee engagement and performance management. Maintain records of employee attendance and leave.",2026-01-15
HR Executive,Reliance Industries,IT Services,Bhopal,0-1 Years,Full Time,On-site,careers@relianceindustries.com,"Maintain records of employee attendance and leave. Assist in employee engagement and performance management. Support training and development initiatives. Coordinate HR policies, payroll support, and compliance.",2025-12-15
UI/UX Designer,Reliance Industries,General,Pune,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-12-17
Electrical Technician,Tata Group,General,Bengaluru,1-3 Years,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-12-30
Loan Officer,Mahindra & Mahindra,General,Kolkata,1-3 Years,Full Time,On-site,careers@mahindra&mahindra.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2026-01-17
Marketing Executive,Amazon India,Marketing & Advertising,Chennai,3-5 Years,Full Time,Hybrid,careers@amazonindia.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2026-01-12
Marketing Executive,Zomato,Marketing & Advertising,Mumbai,Fresher,Full Time,On-site,careers@zomato.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-11-28
Digital Marketing Executive,Tata Group,General,Lucknow,5+ Years,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-08
Interior Designer,Reliance Industries,General,Nagpur,5+ Years,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-12
Production Supervisor,Reliance Industries,General,Lucknow,Fresher,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-18
UI/UX Designer,Tata Group,General,Patna,3-5 Years,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2026-01-05
Teacher,Byju's,Education,Ahmedabad,3-5 Years,Full Time,On-site,careers@byju's.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2026-01-08
Warehouse Manager,Mahindra & Mahindra,Logistics,Kolkata,3-5 Years,Full Time,On-site,careers@mahindra&mahindra.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-21
Mechanical Engineer,Reliance Industries,General,Mumbai,3-5 Years,Full Time,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-12-04
Digital Marketing Executive,Reliance Industries,General,Indore,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-12-28
Warehouse Manager,Mahindra & Mahindra,Logistics,Gurgaon,3-5 Years,Full Time,On-site,careers@mahindra&mahindra.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-27
Sales Manager,Swiggy,Retail,Lucknow,3-5 Years,Full Time,On-site,careers@swiggy.com,Achieve monthly targets and lead the sales team. Develop sales strategies and manage client relationships. Prepare sales reports and presentations for management. Analyze market trends and customer needs.,2025-12-31
Graphic Designer,Reliance Industries,General,Patna,Fresher,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2026-01-05
Content Writer,Tata Group,General,Mumbai,Fresher,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-03
Pharmacist,Mahindra & Mahindra,General,Mumbai,0-1 Years,Full Time,On-site,careers@mahindra&mahindra.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-30
Civil Engineer,Reliance Industries,General,Chennai,3-5 Years,Full Time,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2026-01-10
Assistant Professor,Reliance Industries,General,Noida,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2026-01-11
UI/UX Designer,Tata Group,General,Lucknow,Fresher,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-11-22
Interior Designer,Reliance Industries,General,Lucknow,5+ Years,Full Time,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-18
Software Engineer,Wipro,IT Services,Lucknow,1-3 Years,Internship,On-site,careers@wipro.com,"Collaborate with cross-functional teams to implement new features. Debug, test, and optimize code for high performance. Design, develop, and maintain scalable software applications. Participate in code reviews and improve development standards.",2025-12-02
Civil Engineer,Tata Group,General,Indore,3-5 Years,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2026-01-01
Software Engineer,Infosys,IT Services,Patna,Fresher,Internship,Hybrid,careers@infosys.com,"Collaborate with cross-functional teams to implement new features. Design, develop, and maintain scalable software applications. Write technical documentation and ensure proper version control. Debug, test, and optimize code for high performance.",2025-12-18
Hospital Administrator,Mahindra & Mahindra,General,Lucknow,0-1 Years,Full Time,On-site,careers@mahindra&mahindra.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2026-01-12
Quality Analyst,Mahindra & Mahindra,General,Chennai,Fresher,Full Time,On-site,careers@mahindra&mahindra.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-30
Bank Clerk,Adani Group,General,Kolkata,Fresher,Full Time,On-site,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2026-01-03
Marketing Executive,ICICI Bank,Marketing & Advertising,Delhi,Fresher,Internship,Hybrid,careers@icicibank.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-02
Accountant,HDFC Bank,Banking & Finance,Lucknow,5+ Years,Full Time,Remote,careers@hdfcbank.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2026-01-18
Pharmacist,Reliance Industries,General,Chennai,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2026-01-11
Loan Officer,Mahindra & Mahindra,General,Noida,Fresher,Full Time,On-site,careers@mahindra&mahindra.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-11-21
Data Analyst,Reliance Industries,IT Services,Bengaluru,1-3 Years,Contract,On-site,careers@relianceindustries.com,Work with stakeholders to understand data requirements. Create dashboards and reports to support business decisions. Analyze large datasets to extract actionable insights. Ensure data accuracy and maintain database integrity.,2026-01-12
Data Analyst,Infosys,IT Services,Lucknow,3-5 Years,Contract,On-site,careers@infosys.com,Work with stakeholders to understand data requirements. Create dashboards and reports to support business decisions. Ensure data accuracy and maintain database integrity. Implement data cleaning and transformation pipelines.,2025-12-26
Digital Marketing Executive,Mahindra & Mahindra,General,Pune,0-1 Years,Full Time,On-site,careers@mahindra&mahindra.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2026-01-19
Production Supervisor,Adani Group,General,Nagpur,3-5 Years,Full Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-12-08
Warehouse Manager,Mahindra & Mahindra,Logistics,Bengaluru,5+ Years,Full Time,On-site,careers@mahindra&mahindra.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-12-31
Operations Executive,Mahindra & Mahindra,Logistics,Patna,1-3 Years,Full Time,Hybrid,careers@mahindra&mahindra.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-11-29
Staff Nurse,Apollo Hospitals,Healthcare,Bhopal,Fresher,Part Time,On-site,careers@apollohospitals.com,Provide patient care and assist doctors in clinical procedures. Maintain medical records and ensure hygiene standards. Communicate with patients and families about treatment plans. Assist in emergency situations and routine checkups.,2025-12-14
Interior Designer,Mahindra & Mahindra,General,Pune,0-1 Years,Full Time,On-site,careers@mahindra&mahindra.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-01
Sales Manager,Zomato,Retail,Gurgaon,Fresher,Full Time,On-site,careers@zomato.com,Develop sales strategies and manage client relationships. Analyze market trends and customer needs. Prepare sales reports and presentations for management. Negotiate contracts and maintain customer satisfaction.,2026-01-15
Software Engineer,Reliance Industries,IT Services,Jaipur,0-1 Years,Contract,Remote,careers@relianceindustries.com,"Debug, test, and optimize code for high performance. Design, develop, and maintain scalable software applications. Collaborate with cross-functional teams to implement new features. Participate in code reviews and improve development standards.",2025-11-22
Hospital Administrator,Tata Group,General,Kolkata,1-3 Years,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2026-01-05
Staff Nurse,Apollo Hospitals,Healthcare,Chennai,Fresher,Part Time,On-site,careers@apollohospitals.com,Assist in emergency situations and routine checkups. Maintain medical records and ensure hygiene standards. Provide patient care and assist doctors in clinical procedures. Communicate with patients and families about treatment plans.,2026-01-20
Quality Analyst,Tata Group,General,Delhi,0-1 Years,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-12-08
Loan Officer,Adani Group,General,Ahmedabad,3-5 Years,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-15
Quality Analyst,Reliance Industries,General,Jaipur,5+ Years,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-05
Project Coordinator,Adani Group,General,Bhopal,1-3 Years,Full Time,On-site,careers@adanigroup.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-11-23
Mechanical Engineer,Reliance Industries,General,Kolkata,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-05
Software Engineer,Wipro,IT Services,Delhi,Fresher,Internship,Remote,careers@wipro.com,"Design, develop, and maintain scalable software applications. Collaborate with cross-functional teams to implement new features. Write technical documentation and ensure proper version control. Debug, test, and optimize code for high performance.",2025-12-28
Bank Clerk,Mahindra & Mahindra,General,Ahmedabad,5+ Years,Full Time,On-site,careers@mahindra&mahindra.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2026-01-07
Supply Chain Analyst,Adani Group,General,Ahmedabad,5+ Years,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-11-27
Supply Chain Analyst,Tata Group,General,Noida,Fresher,Full Time,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-12-21
Warehouse Manager,Mahindra & Mahindra,Logistics,Noida,3-5 Years,Full Time,On-site,careers@mahindra&mahindra.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-11-27
Bank Clerk,Reliance Industries,General,Kolkata,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-11-25
Loan Officer,Reliance Industries,General,Ahmedabad,5+ Years,Full Time,On-site,careers@relianceindustries.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-14
Supply Chain Analyst,Mahindra & Mahindra,General,Chennai,0-1 Years,Full Time,On-site,careers@mahindra&mahindra.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-25
Digital Marketing Executive,Tata Group,General,Nagpur,Fresher,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-31
Content Writer,Mahindra & Mahindra,General,Chennai,Fresher,Full Time,On-site,careers@mahindra&mahindra.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-16
Warehouse Manager,Mahindra & Mahindra,Logistics,Pune,0-1 Years,Full Time,On-site,careers@mahindra&mahindra.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-14
Sales Manager,Flipkart,Retail,Patna,0-1 Years,Full Time,On-site,careers@flipkart.com,Develop sales strategies and manage client relationships. Analyze market trends and customer needs. Prepare sales reports and presentations for management. Negotiate contracts and maintain customer satisfaction.,2025-12-26
